Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s15949,601699,361393,18279,40422,240048,1,2440,96,3,12,29,202,183,0,4617,0,6364,3410,200,8,113,83,0,0,2,1,0,0,0,3,0,0,0,0,Floor_of_mouth
s15951,35569,19988,9454,1777,89759,0,1097,12,2,0,7,18,69,5,2067,0,1865,1148,4,39,39,20,0,1,0,0,0,0,0,2,0,0,7,0,Floor_of_mouth
s15980,26142,13822,6688,1103,77271,0,328,5,1,0,4,20,78,1,1148,1,1339,722,25,1,26,10,0,0,0,1,0,0,0,0,0,0,0,0,Floor_of_mouth
s15981,448724,199448,10652,39161,151673,0,2657,51,1,5,18,158,48,0,4033,0,6144,3176,223,4,82,74,0,2,2,0,0,0,0,5,1,0,0,0,Floor_of_mouth
s15983,240732,133697,5591,15484,82500,1,1525,23,0,4,13,63,81,0,2287,0,2966,1588,72,2,86,34,0,0,0,0,0,0,0,4,2,0,0,0,Floor_of_mouth
s15985,4951666,2146781,172805,394999,2074071,2,32979,1741,33,77,1032,424,837,1461,19669,1,15509,13335,4282,78,2364,320,9,2,50,2,0,0,18,79,13,0,2,1,Floor_of_mouth
s15995,23184,17386,5333,904,137006,0,315,2,0,2,3,9,26,0,887,2,865,477,4,1,21,12,0,0,0,0,0,0,0,0,0,0,4,0,Floor_of_mouth
s16001,5049312,2242521,214514,418403,2408207,1,54049,753,12,98,1228,904,1420,9,46992,0,41799,22515,1992,27,1001,720,1,0,43,2,0,0,14,54,5,1,1,0,Floor_of_mouth
s16006,32470,26083,7306,1016,66072,0,1851,13,1,0,5,28,97,1,1563,0,1723,1041,12,41,83,12,0,0,1,0,0,0,0,0,0,0,3,0,Floor_of_mouth
s16008,27032,21153,13515,1592,59260,1,549,8,6,1,8,22,32,1,1666,1,1476,936,4,29,28,22,1,0,0,0,0,0,1,0,0,0,9,0,Floor_of_mouth
s16010,402377,222837,74983,22742,155316,0,2449,47,1,12,23,167,147,4,3582,0,4868,2449,161,4,275345,69,0,0,1,0,0,0,0,1,1,0,0,0,Floor_of_mouth
s16011,25613,26452,9244,1400,122875,0,652,6,1,0,2,21,57,0,1611,0,1904,1151,8,6,290,24,0,0,0,0,0,0,0,0,0,0,5,0,Floor_of_mouth
s16014,38686,44888,13743,2184,117312,0,417,16,0,3,5,15,81,4,1237,3,1146,776,22,4,975,13,0,0,0,0,0,0,0,0,0,0,6,0,Floor_of_mouth
s16025,29473,22923,9375,1399,60420,0,531,7,1,2,3,19,49,2,1393,0,1433,767,7,16,21,10,0,0,0,0,0,0,0,0,0,0,5,0,Floor_of_mouth
s16027,72459,91493,45419,6763,158739,0,1472,15,1,3,89,24,99,5,2739,8,2000,2069,12,36,42,24,0,0,0,1,0,0,0,0,0,0,6,0,Floor_of_mouth
s16028,8844049,227198,8870,1661,987348,0,462,20,0,3,6,35,624,0,1967,0,1618,1314,256,64,107,19,9,0,17,2,0,0,0,0,0,0,0,0,Floor_of_mouth
s16035,312627,152702,6977,24127,95430,0,1725,31,0,15,13,85,54,1,2608,0,3774,1833,86,0,48,56,0,0,2,0,0,0,0,3,0,0,0,0,Floor_of_mouth
s16055,47377,32311,16715,2469,91895,0,1294,16,0,2,18,34,50,0,2001,4,1822,2330,6,81,18,15,0,0,0,0,0,0,0,0,1,0,13,0,Floor_of_mouth
s16063,52350,20809,8162,1330,44878,0,510,9,0,0,11,16,84,1,1548,0,1570,916,15,31,490,30,0,0,0,0,0,0,0,0,0,0,0,0,Floor_of_mouth
s16067,6472304,3068813,1854036,451281,2522412,12,73122,703,23,256,547,755,651,21,32217,6,34522,17681,5074,30,2143683,498,0,0,93,2,1,0,15,33,3,0,3,1,Floor_of_mouth
s16077,378866,233009,8166,21078,136791,0,1747,36,2,7,19,118,125,1,3034,0,3943,2243,108,1,939,46,0,0,0,0,0,0,2,1,0,0,0,0,Floor_of_mouth
s16081,48516,38750,11364,1623,84774,0,712,11,0,0,8,31,99,2,2169,0,2017,1096,6,105,84,29,0,0,0,0,0,0,0,0,0,0,5,0,Floor_of_mouth
s16091,18377,22557,7693,1075,41036,0,329,6,3,2,8,37,59,0,1343,0,1583,768,9,28,40,30,0,0,0,1,0,0,0,0,0,0,7,0,Floor_of_mouth
s16105,25338,23649,8451,1091,45992,0,727,5,1,0,7,15,48,1,1402,0,1595,832,3,50,15,15,0,0,0,0,0,0,0,0,0,0,4,0,Floor_of_mouth
s16111,33597,29767,6839,1041,139897,0,249,6,0,0,2,17,16,4,802,0,874,515,5,6,29,10,1,0,1,0,0,0,0,0,0,0,3,0,Floor_of_mouth
s16124,36199,35959,13430,3561,138280,0,796,27,6,1,7,75,225,0,3269,0,3695,1873,55,229,243,40,1,0,0,0,0,0,0,1,0,0,1,0,Floor_of_mouth
s16129,519860,272893,9913,26553,274125,2,2228,39,2,4,30,181,28,0,4035,0,6244,3029,92,6,129,91,0,0,1,0,0,0,0,5,0,0,0,0,Floor_of_mouth
s16149,45499,28650,12862,1565,74385,0,3023,7,0,0,11,12,224,0,1564,2,1848,1218,13,9,56,26,2,1,0,0,4,0,0,0,0,0,3,2,Floor_of_mouth
s16155,22428,19169,7201,1028,263445,0,297,2,0,8,15,15,49,1,1257,3,1260,642,12,39,29,11,0,0,0,0,0,0,0,1,0,0,4,0,Floor_of_mouth
s16157,24592,16072,14920,1109,51279,1,237,15,2,3,4,8,36,0,837,0,813,467,7,1,7783,9,0,1,0,0,0,0,0,0,0,0,4,0,Floor_of_mouth
s16185,24749,20931,6613,1445,55465,0,276,6,3,1,2,15,108,0,1465,0,1326,2755,33,24,12,6,0,0,0,0,0,0,0,0,0,0,4,0,Floor_of_mouth
s16211,222809,191915,16550,1963,670833,0,691,22,0,3,23,62,875,2,2929,0,2700,1832,358,650,4294,30,11,0,0,0,0,0,0,1,0,0,0,0,Floor_of_mouth
s16234,18790,13501,5162,742,39254,0,303,6,0,1,2,7,38,1,980,0,742,2006,5,69,335,6,0,4,0,0,0,0,0,0,0,0,4,0,Floor_of_mouth
