"Column_Names","Sums","Percentage"
"Papillomaviridae",456372,78.9658370477008
"Polydnaviridae",45026,7.79082805016473
"Herpesviridae",13048,2.25768943273996
"Alloherpesviridae",10354,1.79154785304947
"Phycodnaviridae",9018,1.56038038813986
"Others",44118,7.6337172282052
