"Column_Names","Sums","Percentage"
"Papillomaviridae",209644,73.8281882787133
"Polydnaviridae",23970,8.44127031081624
"Herpesviridae",9218,3.24620899979575
"Alloherpesviridae",7508,2.64401574858608
"Phycodnaviridae",4522,1.59246659764335
"Others",29100,10.2478500644452
