"Column_Names","Sums","Percentage"
"Crenarchaeota",191988,68.0866456719721
"Euryarchaeota",87969,31.1973359434845
"Thaumarchaeota",2018,0.71566374443215
"Candidatus_Korarchaeota",1,0.000354640111215139
